song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
Neon You,Don Louis,42,0.663,0.816,8,-4.412,1,0.0273,0.147,9.58e-06,0.131,0.866,107.999,audio_features,2AlEprA31NMOha3nS5TLvI,spotify:track:2AlEprA31NMOha3nS5TLvI,https://api.spotify.com/v1/tracks/2AlEprA31NMOha3nS5TLvI,https://api.spotify.com/v1/audio-analysis/2AlEprA31NMOha3nS5TLvI,187907,4,
Neon You,Don Louis,42,0.663,0.816,8,-4.412,1,0.0273,0.147,9.58e-06,0.131,0.866,107.999,audio_features,2AlEprA31NMOha3nS5TLvI,spotify:track:2AlEprA31NMOha3nS5TLvI,https://api.spotify.com/v1/tracks/2AlEprA31NMOha3nS5TLvI,https://api.spotify.com/v1/audio-analysis/2AlEprA31NMOha3nS5TLvI,187907,4,
Neon You,Don Louis,42,0.663,0.816,8,-4.412,1,0.0273,0.147,9.58e-06,0.131,0.866,107.999,audio_features,2AlEprA31NMOha3nS5TLvI,spotify:track:2AlEprA31NMOha3nS5TLvI,https://api.spotify.com/v1/tracks/2AlEprA31NMOha3nS5TLvI,https://api.spotify.com/v1/audio-analysis/2AlEprA31NMOha3nS5TLvI,187907,4,
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,90,0.637,0.715,2,-4.971,0,0.0455,0.148,0,0.0892,0.308,141.872,audio_features,38T0tPVZHcPZyhtOcCP7pF,spotify:track:38T0tPVZHcPZyhtOcCP7pF,https://api.spotify.com/v1/tracks/38T0tPVZHcPZyhtOcCP7pF,https://api.spotify.com/v1/audio-analysis/38T0tPVZHcPZyhtOcCP7pF,210576,4,
Something in the Orange,Zach Bryan,88,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3,
It Will Rain,Bruno Mars,71,0.576,0.835,2,-6.826,1,0.0486,0.337,0,0.082,0.476,150.017,audio_features,0RUGuh2uSNFJpGMSsD1F5C,spotify:track:0RUGuh2uSNFJpGMSsD1F5C,https://api.spotify.com/v1/tracks/0RUGuh2uSNFJpGMSsD1F5C,https://api.spotify.com/v1/audio-analysis/0RUGuh2uSNFJpGMSsD1F5C,257720,4,
Never Leave,Bailey Zimmerman,70,0.503,0.643,9,-6.586,1,0.0304,0.523,1.23e-06,0.0661,0.345,148.11,audio_features,1rWoeYw0Vnnj8BLH6ECoiB,spotify:track:1rWoeYw0Vnnj8BLH6ECoiB,https://api.spotify.com/v1/tracks/1rWoeYw0Vnnj8BLH6ECoiB,https://api.spotify.com/v1/audio-analysis/1rWoeYw0Vnnj8BLH6ECoiB,207568,4,
Forget Me,Lewis Capaldi,88,0.669,0.742,1,-3.518,0,0.0441,0.296,0,0.355,0.716,101.982,audio_features,5uSFGgIfHMT3osrAd9n9ym,spotify:track:5uSFGgIfHMT3osrAd9n9ym,https://api.spotify.com/v1/tracks/5uSFGgIfHMT3osrAd9n9ym,https://api.spotify.com/v1/audio-analysis/5uSFGgIfHMT3osrAd9n9ym,203472,4,
How Do I Say Goodbye,Dean Lewis,85,0.4,0.641,8,-6.303,1,0.0674,0.214,0,0.0656,0.393,81.552,audio_features,5hnGrTBaEsdukpDF6aZg8a,spotify:track:5hnGrTBaEsdukpDF6aZg8a,https://api.spotify.com/v1/tracks/5hnGrTBaEsdukpDF6aZg8a,https://api.spotify.com/v1/audio-analysis/5hnGrTBaEsdukpDF6aZg8a,163603,4,
Always Remember Us This Way,Lady Gaga,81,0.553,0.502,0,-5.972,1,0.0409,0.299,0,0.764,0.296,129.976,audio_features,2rbDhOo9Fh61Bbu23T2qCk,spotify:track:2rbDhOo9Fh61Bbu23T2qCk,https://api.spotify.com/v1/tracks/2rbDhOo9Fh61Bbu23T2qCk,https://api.spotify.com/v1/audio-analysis/2rbDhOo9Fh61Bbu23T2qCk,210200,4,
Cold Heart - PNAU Remix,Elton John & Dua Lipa & PNAU,89,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,6zSpb8dQRaw0M1dK8PBwQz,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,202735,4,
Starved,Zach Bryan,0,0.332,0.382,2,-8.963,1,0.0366,0.267,0.0268,0.094,0.113,161.083,audio_features,51dn2eCX2DhMTHtkPmZbZP,spotify:track:51dn2eCX2DhMTHtkPmZbZP,https://api.spotify.com/v1/tracks/51dn2eCX2DhMTHtkPmZbZP,https://api.spotify.com/v1/audio-analysis/51dn2eCX2DhMTHtkPmZbZP,282816,3,
'Til You Can't,Cody Johnson,76,0.501,0.815,1,-4.865,1,0.0436,0.0513,0,0.106,0.46,160.087,audio_features,4k3lPl8YTKuY8c1HelVnm3,spotify:track:4k3lPl8YTKuY8c1HelVnm3,https://api.spotify.com/v1/tracks/4k3lPl8YTKuY8c1HelVnm3,https://api.spotify.com/v1/audio-analysis/4k3lPl8YTKuY8c1HelVnm3,224213,4,
Joy Of My Life,Chris Stapleton,71,0.63,0.485,3,-8.955,1,0.0299,0.223,0.0535,0.103,0.398,149.23,audio_features,4EuaDcxHmHKS6gZ5iuGba0,spotify:track:4EuaDcxHmHKS6gZ5iuGba0,https://api.spotify.com/v1/tracks/4EuaDcxHmHKS6gZ5iuGba0,https://api.spotify.com/v1/audio-analysis/4EuaDcxHmHKS6gZ5iuGba0,274520,4,
